KEY,TAG
01,Brazil 3 - 1 Croatia
02,Cameroon 0 - 1 Mexico
03,Spain 1 - 5 Netherlands
04,Chile 3 - 1 Australia
05,Colombia 3 - 0 Greece
06,Côte de I’vore 2 - 1 Japan
07,Uruguay 1 - 3 Costa Rica
08,England 1 - 2 Italy
09,Switzerland 2 - 1 Ecuador
10,France 3 - 0 Honduras
11,Argentina 2 - 1 Bosnia and Herzegovina
12,IR Iran 0 - 0 Nigeria
13,Germany 4 - 0 Portugal
14,Ghana 1 - 2 USA
15,Belgium 2 - 1 Algeria
16,Russia 1 - 1 Korean Republic
17,Brazil 0 - 0 Mexico
18,Cameroon 0 - 4 Croatia
19,Spain 0 - 2 Chile
20,Australia 2 - 3 Netherlands
21,Colombia  2 - 1 Côte de I’vore
22,Japan 0 - 0 Greece
23,Uruguay 2 - 1 England
24,Italy 0 - 1 Costa Rica
25,Switzerland 2 - 5 France
26,Honduras 1 - 2 Ecuador
27,Argentina 1 - 0 IR Iran
28,Nigeria 1 - 0 Bosnia and Herzegovina
29,Germany 2 - 2 Ghana
30,USA 2 - 2 Portugal
31,Belgium 1 - 0 Russia
32,Korean Republic  2 - 4 Algeria
33,Cameroon 1 - 4 Brazil
34,Croatia 1 - 3 Mexico
35,Australia 0 - 3 Spain
36,Netherlands 2 - 0 Chile
37,Japan 1 - 4 Colombia
38,Greece 2 - 1 Côte de I’vore
39,Italy 0 - 1 Uruguay
40,Costa Rica 0 - 0 England
41,Honduras 0 - 3 Switzerland
42,Ecuador 0 - 0 France
43,Nigeria 2 - 3 Argentina
44,Bosnia and Herzegovina 3 - 1 IR Iran
45,USA 0 - 1 Germany
46,Portugal 1 - 1 Ghana
47,Korean Republic 0 - 1 Belgium
48,Algeria 1 - 1 Russia
49,Brazil 1 - 1 Chile (Final 4-3)
50,Colombia 2 - 0 Uruguay
51,Netherlands 2 - 1 Mexico
52,Costa Rica 1 - 1 Greece (Final 6-4)
53,France 2 - 0 Nigeria
54,Germany 2 - 1 Algeria
55,Argentina 1 - 0 Switzerland
56,Belgium 2 - 1 USA
57,Brazil 2 - 1 Colombia
58,France 0 - 1 Germany
59,Netherlands 0 - 0 Costa Rica (Final 4-3)
60,Argentina 1 - 0 Belgium
61,Brazil 1 - 7 Germany
62,Netherlands 0 - 0 Argentina (Final 2-4)
63,Brazil 0 - 3 Netherlands
64,Germany 1 - 0 Argentina
