MATCH,MATCH2,TEAM,PLAYER,NAME,NAME2,POS,PC ,PA ,PC/PA,PR,MIN,GS,S,SG,FC,FS,PLAYER2,NAME3,MIN2,DC,D_IN_POSS,D_NOT_IN_POSS,T_OPP_HALF,T_ATT_3RD,T_PEN_AREA,SPRINT,MAX_SPEED,A_Z1,A_Z2,A_Z3,A_Z4,A_Z5,Goals_scored,Attempts_on_off_target,Assists,Offsides,Saves,Yellow_cards,2Y_R,Red_card,Fouls_committed,Delivery_solo_runs_attacking3rd,Delivery_solo_runs_attacking3rd_a,Delivery_solo_runs_attacking3rd_b,Delivery_solo_runs_penalty_area,Delivery_solo_runs_penalty_area_a,Delivery_solo_runs_penalty_area_b,Tackles_gaining_the_ball,Tackles_not_gaining_the_ball,Tackles_suffered_losing_the_ball,Tackles_suffered_not_losing_the_ball,Clearances_Completed,Clearances_Attempted,Total_time_played_mins,Activity_time_spent_Z1,Activity_time_spent_Z2,Activity_time_spent_Z3,Activity_time_spent_Z4,Activity_time_spent_Z5,Distance_covered_m,ADC_m_Z1,ADC_m_Z2,ADC_m_Z3,ADC_m_Z4,ADC_m_Z5,Top_Speed,Sprints
01,1,RUS,1,AKINFEEV,Igor AKINFEEV 1,GK,11,21,52,17,90,,,,,,1,AKINFEEV,"96'48""",3606,1047,1215,,,,1,21.46,97,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,2,MARIO FERNANDES,MARIO FERNANDES 2,DF,22,25,88,19,90,,,,,,2,MARIO FERNANDES,"96'48""",10822,3452,4668,34,12,1,48,31.5,64,27,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,3,KUTEPOV,Ilya KUTEPOV 3,DF,26,31,84,21,90,,,,1,,3,KUTEPOV,"96'48""",9987,2859,4698,19,6,2,24,27.36,68,26,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,4,IGNASHEVICH,Sergey IGNASHEVICH 4,DF,30,37,81,17,90,,,,,2,4,IGNASHEVICH,"96'48""",10108,2912,4675,19,8,3,12,29.48,63,32,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,8,GAZINSKY,Iury GAZINSKY 8,MF,24,30,80,21,90,1,1,1,2,1,8,GAZINSKY,"96'48""",12240,3558,6117,45,18,4,38,27.22,54,34,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,9,DZAGOEV,Alan DZAGOEV 9,MF,7,8,88,8,24,,1,0,,,9,DZAGOEV,"23'26""",3029,1203,1236,68,38,17,12,29.48,55,30,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,10,SMOLOV,Fedor SMOLOV 10,FW,11,14,79,18,70,,,,2,,10,SMOLOV,"71'26""",8787,3059,3722,73,44,10,46,30.17,60,29,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,11,ZOBNIN,Roman ZOBNIN 11,MF,17,26,65,25,90,,2,1,1,3,11,ZOBNIN,"96'48""",11753,3663,5404,52,23,5,38,29.23,57,33,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,17,GOLOVIN,Aleksandr GOLOVIN 17,MF,27,32,84,22,90,1,1,1,7,1,17,GOLOVIN,"96'48""",12706,3884,5944,69,37,4,69,30.6,55,33,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,18,ZHIRKOV,Yury ZHIRKOV 18,MF,25,28,89,22,90,,1,0,2,1,18,ZHIRKOV,"96'48""",11020,3448,4773,32,12,1,35,28.58,64,28,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,19,SAMEDOV,Alexander SAMEDOV 19,MF,13,16,81,14,64,,2,0,1,1,19,SAMEDOV,"65'49""",8300,2632,3835,62,28,4,37,28.8,59,30,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,6,CHERYSHEV,Denis CHERYSHEV 6,MF,13,19,68,19,66,2,3,3,4,,6,CHERYSHEV,"73'22""",9030,2894,4064,59,27,3,49,31.03,63,25,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,7,KUZIAEV,Daler KUZIAEV 7,MF,6,7,86,9,26,,1,0,1,1,7,KUZIAEV,"30'59""",3895,1182,1689,55,34,3,15,26.28,58,30,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,RUS,22,DZYUBA,Artem DZYUBA 22,FW,8,8,100,8,20,1,1,1,1,,22,DZYUBA,"25'22""",2680,803,1168,80,50,21,14,26.64,67,24,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,1,ABDULLAH ALMUAIOUF,ABDULLAH ALMUAIOUF 1,GK,19,34,56,20,90,,,,,,1,ABDULLAH ALMUAI...,"96'48""",4027,1818,1252,,,,1,14.83,94,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,3,OSAMA HAWSAWI,OSAMA HAWSAWI 3,DF,52,57,91,45,90,,,,,2,3,OSAMA HAWSAWI,"96'48""",7997,2836,3301,8,5,2,30,27.9,79,16,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,5,OMAR HAWSAWI,OMAR HAWSAWI 5,DF,43,53,81,42,90,,,,1,2,5,OMAR OTHMAN,"96'48""",9040,3494,3465,11,4,3,47,29.48,76,17,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,6,MOHAMMED ALBURAYK,MOHAMMED ALBURAYK 6,DF,55,64,86,64,90,,,,,6,6,MOHAMMED ALBUR,"96'48""",9951,3942,3774,24,6,,47,28.8,64,27,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,7,SALMAN ALFARAJ,SALMAN ALFARAJ 7,MF,71,77,92,64,90,,,,1,2,7,SALMAN ALFARAJ,"96'48""",1323,4986,3969,38,13,1,52,28.37,63,26,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,8,YAHIA ALSHEHRI,YAHIA ALSHEHRI 8,MF,27,30,90,34,72,,,,,,8,YAHIA ALSHEHRI,"73'50""",8587,3765,2998,52,21,4,34,30.38,61,28,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,10,MOHAMMED ALSAHLAWI,MOHAMMED ALSAHLAWI 10,FW,7,7,100,7,85,,1,0,2,,10,MOHAMMED ALSAH,"86'04""",8854,4109,2808,72,29,6,28,30.6,69,22,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,13,YASSER ALSHAHRANI,YASSER ALSHAHRANI 13,DF,40,49,82,49,90,,2,0,1,1,13,YASIR ALSHAHRANI,"96'48""",509,4027,3726,29,12,1,50,32.4,68,23,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,1,KSA,14,ABDULLAH OTAYF,ABDULLAH OTAYF 14,MF,47,51,92,40,64,,,,,4,14,ABDULLAH OTAYF,"65'32""",8137,3529,3003,28,11,3,21,27.9,58,32,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
