key,p_x,p_y
01RUS.X1,,
01RUS.X2,,
01RUS.X3,,
01RUS.X4,,
01RUS.X8,,
01RUS.X9,,
01RUS.X10,,
01RUS.X11,,
01RUS.X17,,
01RUS.X18,,
01RUS.X19,,
01RUS.X6,,
01RUS.X7,,
01RUS.X22,,
01KSA.X1,,
01KSA.X3,,
01KSA.X5,,
01KSA.X6,,
01KSA.X7,,
01KSA.X8,,
01KSA.X10,,
01KSA.X13,,
01KSA.X14,,
01KSA.X17,,
01KSA.X18,,
01KSA.X9,,
01KSA.X19,,
01KSA.X20,,
02EGY.X23,,
02EGY.X2,,
02EGY.X6,,
02EGY.X7,,
02EGY.X8,,
02EGY.X9,,
02EGY.X13,,
02EGY.X17,,
02EGY.X19,,
02EGY.X21,,
02EGY.X22,,
02EGY.X5,,
02EGY.X11,,
02EGY.X14,,
02URU.X1,,
02URU.X2,,
02URU.X3,,
02URU.X4,,
02URU.X6,,
02URU.X8,,
02URU.X9,,
02URU.X10,,
02URU.X15,,
02URU.X21,,
02URU.X22,,
02URU.X5,,
02URU.X7,,
02URU.X14,,
03POR.X1,,
03POR.X3,,
03POR.X5,,
03POR.X6,,
03POR.X7,,
03POR.X8,,
03POR.X11,,
03POR.X14,,
03POR.X16,,
03POR.X17,,
03POR.X21,,
03POR.X9,,
03POR.X10,,
03POR.X20,,
03ESP.X1,,
03ESP.X3,,
03ESP.X4,,
03ESP.X5,,
03ESP.X6,,
03ESP.X8,,
03ESP.X15,,
03ESP.X18,,
03ESP.X19,,
03ESP.X21,,
03ESP.X22,,
03ESP.X10,,
03ESP.X11,,
03ESP.X17,,
04MAR.X12,,
04MAR.X2,,
04MAR.X5,,
04MAR.X6,,
04MAR.X7,,
04MAR.X8,,
04MAR.X9,,
04MAR.X10,,
04MAR.X14,,
04MAR.X16,,
04MAR.X18,,
04MAR.X4,,
04MAR.X20,,
04MAR.X21,,
04IRN.X1,,
04IRN.X3,,
04IRN.X4,,
04IRN.X7,,
04IRN.X8,,
04IRN.X9,,
04IRN.X10,,
04IRN.X11,,
04IRN.X18,,
04IRN.X20,,
04IRN.X23,,
04IRN.X14,,
04IRN.X17,,
04IRN.X19,,
05FRA.X1,0.5,3
05FRA.X2,3,4.5
05FRA.X4,2,4
05FRA.X5,2,2.2
05FRA.X6,3.5,2.4
05FRA.X7,4.8,3
05FRA.X10,4.5,2.8
