key2,p_x,p_y
01MEX.X2,0,0
01MEX.X3,0,0
01MEX.X4,0,0
01MEX.X5,0,0
01MEX.X12,0,0
01MEX.X16,0,0
01MEX.X9,0,0
01MEX.X11,0,0
01MEX.X17,0,0
01MEX.X1,0,0
01MEX.X6,0,0
01MEX.X10,0,0
01MEX.X14,0,0
01MEX.X18,0,0
01RSA.X2,0,0
01RSA.X4,0,0
01RSA.X15,0,0
01RSA.X20,0,0
01RSA.X9,0,0
01RSA.X16,0,0
01RSA.X8,0,0
01RSA.X10,0,0
01RSA.X11,0,0
01RSA.X12,0,0
01RSA.X13,0,0
01RSA.X3,0,0
01RSA.X17,0,0
02FRA.X2,2,4.5
02FRA.X3,1.5,2.16
02FRA.X5,1.5,3.83
02FRA.X13,2,1.5
02FRA.X7,4.5,1.5
02FRA.X10,4.5,4.5
02FRA.X21,5,3
02FRA.X1,0.5,3
02FRA.X8,3.5,3.83
02FRA.X14,3,3
02FRA.X19,3.5,2.16
02FRA.X11,2.875,0
02FRA.X12,3.25,0
02FRA.X15,3.625,0
02URU.X2,5,2.16
02URU.X3,5,3.83
02URU.X6,4.75,1.5
02URU.X16,3,1.5
02URU.X9,2,3.83
02URU.X10,2,2.16
02URU.X1,6,3
02URU.X11,4.75,4.5
02URU.X15,3.25,2.16
02URU.X17,3.25,3.83
02URU.X18,3,4.5
02URU.X8,2.875,6
02URU.X13,3.25,6
02URU.X14,3.625,6
03ARG.X2,0,0
03ARG.X6,0,0
03ARG.X13,0,0
03ARG.X9,0,0
03ARG.X10,0,0
03ARG.X11,0,0
03ARG.X22,0,0
03ARG.X7,0,0
03ARG.X8,0,0
03ARG.X14,0,0
03ARG.X17,0,0
03ARG.X4,0,0
03ARG.X19,0,0
03ARG.X20,0,0
03NGA.X2,0,0
03NGA.X3,0,0
03NGA.X6,0,0
03NGA.X17,0,0
03NGA.X8,0,0
03NGA.X18,0,0
03NGA.X19,0,0
03NGA.X1,0,0
03NGA.X14,0,0
03NGA.X15,0,0
03NGA.X20,0,0
03NGA.X9,0,0
03NGA.X11,0,0
03NGA.X12,0,0
04GRE.X2,0,0
04GRE.X8,0,0
04GRE.X11,0,0
04GRE.X15,0,0
04GRE.X7,0,0
04GRE.X9,0,0
04GRE.X17,0,0
04GRE.X12,0,0
04GRE.X6,0,0
04GRE.X10,0,0
04GRE.X21,0,0
04GRE.X3,0,0
04GRE.X14,0,0
04GRE.X20,0,0
04KOR.X4,0,0
04KOR.X12,0,0
04KOR.X14,0,0
04KOR.X22,0,0
04KOR.X10,0,0
04KOR.X18,0,0
04KOR.X7,0,0
04KOR.X8,0,0
04KOR.X16,0,0
04KOR.X17,0,0
04KOR.X19,0,0
04KOR.X5,0,0
04KOR.X11,0,0
04KOR.X13,0,0
05ENG.X2,0,0
05ENG.X3,0,0
05ENG.X6,0,0
05ENG.X20,0,0
05ENG.X10,0,0
05ENG.X21,0,0
05ENG.X12,0,0
05ENG.X4,0,0
05ENG.X7,0,0
05ENG.X8,0,0
05ENG.X16,0,0
05ENG.X9,0,0
05ENG.X17,0,0
05ENG.X18,0,0
05USA.X3,0,0
05USA.X5,0,0
05USA.X6,0,0
05USA.X15,0,0
05USA.X17,0,0
05USA.X20,0,0
05USA.X1,0,0
05USA.X4,0,0
05USA.X8,0,0
05USA.X10,0,0
05USA.X13,0,0
05USA.X11,0,0
05USA.X14,0,0
06ALG.X2,0,0
06ALG.X3,0,0
06ALG.X4,0,0
06ALG.X5,0,0
06ALG.X11,0,0
06ALG.X16,0,0
06ALG.X8,0,0
06ALG.X13,0,0
06ALG.X15,0,0
06ALG.X19,0,0
06ALG.X21,0,0
06ALG.X9,0,0
06ALG.X10,0,0
06ALG.X17,0,0
06SVN.X2,0,0
06SVN.X4,0,0
06SVN.X5,0,0
06SVN.X13,0,0
06SVN.X11,0,0
06SVN.X14,0,0
06SVN.X1,0,0
06SVN.X8,0,0
06SVN.X10,0,0
06SVN.X17,0,0
06SVN.X18,0,0
06SVN.X7,0,0
06SVN.X9,0,0
06SVN.X20,0,0
07AUS.X2,0,0
07AUS.X3,0,0
07AUS.X8,0,0
07AUS.X11,0,0
07AUS.X4,0,0
07AUS.X19,0,0
07AUS.X1,0,0
07AUS.X5,0,0
07AUS.X7,0,0
07AUS.X13,0,0
07AUS.X16,0,0
07AUS.X14,0,0
07AUS.X15,0,0
07AUS.X17,0,0
07GER.X3,0,0
07GER.X14,0,0
07GER.X16,0,0
07GER.X17,0,0
07GER.X10,0,0
07GER.X11,0,0
07GER.X1,0,0
07GER.X6,0,0
07GER.X7,0,0
07GER.X8,0,0
07GER.X13,0,0
07GER.X19,0,0
07GER.X21,0,0
07GER.X23,0,0
08GHA.X2,0,0
08GHA.X4,0,0
08GHA.X5,0,0
08GHA.X15,0,0
08GHA.X3,0,0
08GHA.X12,0,0
08GHA.X23,0,0
08GHA.X22,0,0
08GHA.X6,0,0
08GHA.X13,0,0
08GHA.X21,0,0
08GHA.X10,0,0
08GHA.X19,0,0
08GHA.X20,0,0
08SRB.X3,0,0
08SRB.X5,0,0
08SRB.X6,0,0
08SRB.X13,0,0
08SRB.X9,0,0
08SRB.X15,0,0
08SRB.X1,0,0
08SRB.X10,0,0
08SRB.X11,0,0
08SRB.X14,0,0
08SRB.X17,0,0
08SRB.X8,0,0
08SRB.X20,0,0
08SRB.X22,0,0
09DEN.X3,5,3.83
09DEN.X4,5,2.16
09DEN.X6,4.7,1.5
09DEN.X15,4.5,4.5
09DEN.X11,1.5,3
09DEN.X19,2,3.83
09DEN.X1,6,3
09DEN.X2,3.5,2.16
09DEN.X10,3,4.5
09DEN.X12,3.5,3.83
09DEN.X20,3,1.5
09DEN.X8,2.875,6
09DEN.X17,3.25,6
09DEN.X21,3.625,6
09NED.X2,2,4.5
09NED.X3,1.5,3.83
09NED.X4,1.5,2.16
09NED.X5,2,1.5
09NED.X7,4.5,3.83
09NED.X9,5,3
09NED.X1,0.5,3
09NED.X6,3,3.83
09NED.X8,3,2.16
09NED.X10,4.5,3
09NED.X23,4.5,1.5
09NED.X14,2.875,0
09NED.X17,3.25,0
09NED.X20,3.625,0
10CMR.X2,4.7,4.5
10CMR.X3,5,2.16
10CMR.X5,5,3.83
10CMR.X19,4.7,1.5
10CMR.X9,2,2
10CMR.X13,2,4
10CMR.X15,1.5,3
10CMR.X16,6,3
10CMR.X11,3.5,3
10CMR.X18,3,4
10CMR.X21,3,2
10CMR.X8,3,6
10CMR.X10,3.25,6
10CMR.X17,3.5,6
10JPN.X3,2,1.5
10JPN.X4,1.5,2.16
10JPN.X5,2,4.5
10JPN.X22,1.5,3.83
10JPN.X16,5,3
10JPN.X21,0.5,3
10JPN.X2,3,3
10JPN.X7,3.5,1.5
10JPN.X8,3.5,4.5
10JPN.X17,3.5,2.16
10JPN.X18,3.5,3.83
10JPN.X9,2.875,0
10JPN.X12,3.25,0
10JPN.X20,3.625,0
11ITA.X3,0,0
11ITA.X4,0,0
11ITA.X5,0,0
11ITA.X19,0,0
11ITA.X9,0,0
11ITA.X11,0,0
11ITA.X1,0,0
11ITA.X6,0,0
11ITA.X7,0,0
11ITA.X15,0,0
11ITA.X22,0,0
11ITA.X10,0,0
11ITA.X12,0,0
11ITA.X16,0,0
11PAR.X3,0,0
11PAR.X14,0,0
11PAR.X17,0,0
11PAR.X21,0,0
11PAR.X18,0,0
11PAR.X19,0,0
11PAR.X1,0,0
11PAR.X6,0,0
11PAR.X13,0,0
11PAR.X15,0,0
11PAR.X16,0,0
11PAR.X7,0,0
11PAR.X9,0,0
11PAR.X11,0,0
12NZL.X3,0,0
12NZL.X4,0,0
12NZL.X5,0,0
12NZL.X6,0,0
12NZL.X19,0,0
12NZL.X9,0,0
12NZL.X10,0,0
12NZL.X14,0,0
12NZL.X1,0,0
12NZL.X7,0,0
12NZL.X11,0,0
12NZL.X20,0,0
12NZL.X21,0,0
12SVK.X3,0,0
12SVK.X4,0,0
12SVK.X5,0,0
12SVK.X16,0,0
12SVK.X9,0,0
12SVK.X11,0,0
12SVK.X18,0,0
12SVK.X1,0,0
12SVK.X6,0,0
12SVK.X7,0,0
12SVK.X17,0,0
12SVK.X13,0,0
12SVK.X15,0,0
12SVK.X19,0,0
13CIV.X4,0,0
13CIV.X17,0,0
13CIV.X20,0,0
13CIV.X21,0,0
13CIV.X8,0,0
13CIV.X10,0,0
13CIV.X15,0,0
13CIV.X1,0,0
13CIV.X5,0,0
13CIV.X9,0,0
13CIV.X19,0,0
13CIV.X11,0,0
13CIV.X13,0,0
13CIV.X18,0,0
13POR.X2,0,0
13POR.X3,0,0
13POR.X6,0,0
13POR.X23,0,0
13POR.X7,0,0
13POR.X9,0,0
13POR.X10,0,0
13POR.X1,0,0
13POR.X8,0,0
13POR.X16,0,0
13POR.X20,0,0
13POR.X11,0,0
13POR.X17,0,0
13POR.X19,0,0
14BRA.X2,2,4.5
14BRA.X3,1.5,3.83
14BRA.X4,1.5,2.16
14BRA.X6,2,1.5
14BRA.X9,5,3
14BRA.X11,4.5,3.83
14BRA.X1,0.5,3
14BRA.X5,3.25,2.16
14BRA.X7,3.25,3.83
14BRA.X8,3,3
14BRA.X10,4,2.16
14BRA.X13,2.875,0
14BRA.X18,3.25,0
14BRA.X21,3.625,0
14PRK.X2,4.7,1.5
14PRK.X3,3.5,3
14PRK.X5,4.7,4.5
14PRK.X8,3,4
14PRK.X13,5,2.16
14PRK.X9,1.5,3
14PRK.X10,2,2.16
14PRK.X1,6,3
14PRK.X4,5,3.83
14PRK.X11,2.7,2
14PRK.X17,2,3.83
14PRK.X6,3.325,6
15CHI.X3,5,3.415
15CHI.X4,4.5,1.5
15CHI.X17,5,2.58
15CHI.X7,1.5,2.31
15CHI.X15,1.5,3.6
15CHI.X1,6,3
