KEY,TAG
1,South_Africa 1 - 1 Mexico
2,Uruguay 0 - 0 France
3,Argentina 1 - 0 Nigeria
4,Korean_Republic 2 - 0 Greece
5,England 1 - 1 USA
6,Algeria 0 - 1 Slovenia
7,Germany 4 - 0 Australia
8,Serbia 0 - 1 Ghana
9,Netherlands 2 - 0 Denmark
10,Japan 1 - 0 Cameroon
11,Italy 1 - 1 Paraguay
12,New_Zealand 1 - 1 Slovakia
13,Côte_D'Ivoire 0 - 0 Portugal
14,Brazil 2 - 1 Korea_DPR
15,Honduras 0 - 1 Chile
16,Spain 0 - 1 Switzerland
17,South_Africa 0 - 3 Uruguay
18,France 0 - 2 Mexico
19,Greece 2 - 1 Nigeria
20,Argentina 4 - 1 Korea_Republic
21,Germany 0 - 1 Serbia
22,Slovenia 2 - 2 USA
23,England 0 - 0 Algeria
24,Ghana 1 - 1 Australia
25,Netherlands 1 - 0 Japan
26,Cameroon 1 - 2 Denmark
27,Slovakia 0 - 2 Paraguay
28,Italy 1 - 1 New_Zealand
29,Brazil 3 - 1 Côte_D'Ivoire
30,Portugal 7 - 0 Korea_DPR
31,Chile 1 - 0 Switzerland
32,Spain 2 - 0 Honduras
33,Mexico 0 - 1 Uruguay
34,France 1 - 2 South_Africa
35,Nigeria 2 - 2 Korea_Republic
36,Greece 0 - 2 Argentina
37,Slovenia 0 - 1 England
38,USA 1 - 0 Algeria
39,Ghana 0 - 1 Germany
40,Australia 2 - 1 Serbia
41,Slovakia 3 - 2 Italy
42,Paraguay 0 - 0 New_Zealand
43,Denmark 1 - 3 Japan
44,Cameroon 1 - 2 Netherlands
45,Portugal 0 - 0 Brazil
46,Korea_DPR 0 - 3 Côte_D'Ivoire
47,Chile 1 - 2 Spain
48,Switzerland 0 - 0 Honduras
49,Uruguay 2 - 1 Korea_Republic
50,USA 1 - 2 Ghana
51,Germany 4 - 1 England
52,Argentina 3 - 1 Mexico
53,Netherlands 2 - 1 Slovakia
54,Brazil 3 - 0 Chile
55,Paraguay 0 - 0 Japan (Final 5-3)
56,Spain 1 - 0 Portugal
57,Netherlands 2 - 1 Brazil
58,Uruguay 1 - 1 Ghana (Final 5-3)
59,Argentina 0 - 4 Germany
60,Paraguay 0 - 1 Spain
61,Uruguay 2 - 3 Netherlands
62,Germany 0 - 1 Spain
63,Uruguay 2 - 3 Germany
64,Netherlands 0 - 1 Spain
