key,p_x,p_y
01BRA.X12,,
01BRA.X2,,
01BRA.X3,,
01BRA.X4,,
01BRA.X6,,
01BRA.X7,,
01BRA.X8,,
01BRA.X9,,
01BRA.X10,,
01BRA.X11,,
01BRA.X17,,
01BRA.X16,,
01BRA.X18,,
01BRA.X20,,
01CRO.X1,,
01CRO.X2,,
01CRO.X4,,
01CRO.X5,,
01CRO.X6,,
01CRO.X7,,
01CRO.X9,,
01CRO.X10,,
01CRO.X11,,
01CRO.X18,,
01CRO.X20,,
01CRO.X14,,
01CRO.X16,,
02MEX.X13,0.5,3
02MEX.X2,2.2,3.83
02MEX.X4,2,3.2
02MEX.X6,3.7,3.83
02MEX.X7,3.25,1.5
02MEX.X10,4.7,3.5
02MEX.X15,2.2,2.16
02MEX.X18,3.7,1.7
02MEX.X19,5,3
02MEX.X22,3.25,4.5
02MEX.X23,3.1,3
02MEX.X3,2.875,0
02MEX.X8,3.25,0
02MEX.X14,3.625,0
02CMR.X16,6,3
02CMR.X2,4.7,4.5
02CMR.X3,5,2.2
02CMR.X4,4.7,1.5
02CMR.X6,3.7,3
02CMR.X8,2.7,1.7
02CMR.X9,1.5,3
02CMR.X13,2.8,4.5
02CMR.X14,5,3.83
02CMR.X17,3,2.2
02CMR.X18,2.8,3.5
02CMR.X5,3,6
02CMR.X15,3.5,6
03ESP.X1,,
03ESP.X3,,
03ESP.X6,,
03ESP.X8,,
03ESP.X14,,
03ESP.X15,,
03ESP.X16,,
03ESP.X18,,
03ESP.X19,,
03ESP.X21,,
03ESP.X22,,
03ESP.X9,,
03ESP.X10,,
03ESP.X11,,
03NED.X1,,
03NED.X2,,
03NED.X3,,
03NED.X4,,
03NED.X5,,
03NED.X6,,
03NED.X7,,
03NED.X8,,
03NED.X9,,
03NED.X10,,
03NED.X11,,
03NED.X13,,
03NED.X17,,
03NED.X20,,
04CHI.X1,0.5,3
04CHI.X2,3,1.5
04CHI.X4,3,4.5
04CHI.X7,4.2,3.83
04CHI.X8,4,2.8
04CHI.X10,4.2,3
04CHI.X11,4.7,2.4
04CHI.X17,1.5,3.83
04CHI.X18,1.5,2.1
04CHI.X20,3.5,3
04CHI.X21,3,3
04CHI.X9,2.875,0
04CHI.X15,3.25,0
04CHI.X16,3.625,0
04AUS.X1,6,3
04AUS.X2,4,1.5
04AUS.X3,4.3,4.5
04AUS.X4,1.5,3
04AUS.X5,3.25,3.1
04AUS.X6,4.7,3.83
